address,longitude,city,state,zip,Store,latitude
Chesterfield Commons,-90.59870699999999,Chesterfield,MO,63005,Starbucks,38.6688935
SR-K & Weldon Spring,-90.702123,O'Fallon,MO,63368,Starbucks,38.7191650000000046
Target Chesterfield T-1353,-90.58528000000001,Chesterfield,MO,63005,Starbucks,38.6674967
Clarkson & Baxter,-90.566251,Chesterfield,MO,63017,Starbucks,38.6422368
Target Ballwin T-26,-90.547168,Ballwin,MO,63011,Starbucks,38.5947020000000059
Hwy 94 & Mid Rivers,-90.63493299999999,St. Peters,MO,63304,Starbucks,38.74257510
Manchester & Ries,-90.543014,Ballwin,MO,63011,Starbucks,38.59266799999999611
Town and Country Crossing,-90.51915600000001,Town and Country,MO,63017,Starbucks,38.62189712
Target Chesterfield/T & C T-1952,-90.51782,Chesterfield,MO,63011,Starbucks,38.62032513
Target O'Fallon/Dardenne T-2103,-90.76348,Dardenne Prarie,MO,63368,Starbucks,38.76596514
Target O'Fallon T-1241,-90.699916,O'Fallon,MO,63368,Starbucks,38.77736515
Maryville University Library,-90.50546,St. Louis,MO,63141,Starbucks,38.64212916
SR-K & Laura Hill Rd,-90.69897900000001,O'Fallon,MO,63366,Starbucks,38.78090800000000417
SR-N & Hawk Ridge,-90.784308,Lake St. Louis,MO,63367,Starbucks,38.76831318
Manchester & Braeshire Rd,-90.49739699999999,Manchester,MO,63011,Starbucks,38.59329619
Olive & Woodsmill - Chesterfield,-90.499765,Chesterfield,MO,63141,Starbucks,38.67946620
Clayton Rd & Mason,-90.481796,Town and Country,MO,63131,Starbucks,38.62666921
Mexico & Mid Rivers Mall Dr,-90.62634399999999,St. Peters,MO,63376,Starbucks,38.78863822
Hwy 141 & I-44,-90.496534,Valley Park,MO,63088,Starbucks,38.53653723
Big Bend & Dougherty Ferry,-90.475045,St. Louis,MO,63122,Starbucks,38.56866199999999624
Dierbergs @ Des Peres,-90.434841,Des Peres,MO,63131,Starbucks,38.60071425
Dierbergs West Oak Creve Coeur Sbux,-90.435839,Creve Coeur,MO,63141,Starbucks,38.67136626
Olive & Craig,-90.43508299999999,Creve Coeur,MO,63141,Starbucks,38.6708627
Westport Plaza,-90.44596,St. Louis,MO,63146,Starbucks,38.7014528
5th & Boonslick,-90.49056999999999,St. Charles,MO,63301,Starbucks,38.77380499999999629
Page & Ball,-90.420625,Maryland Heights,MO,63146,Starbucks,38.69892630
Lindbergh & Clayton,-90.40471600000001,Ladue,MO,63131,Starbucks,38.63251599999999531
Kirkwood Pioneer Place,-90.40685,Kirkwood,MO,63122,Starbucks,38.57743332
Target Fenton T-1314,-90.44771899999999,Fenton,MO,63026,Starbucks,38.50284333
Hwy. 141 & Gravois,-90.442786,Fenton,MO,63026,Starbucks,38.5079534
Watson and Lindbergh,-90.41068299999999,Sunset Hills,MO,63127,Starbucks,38.55539235
Wentzville & I 70,-90.87833499999999,Wentzville,MO,63385,Starbucks,38.81838636
Target Kirkwood T-1279,-90.403998,Kirkwood,MO,63122,Starbucks,38.56526599999999437
